system:index,classification,.geo
1_1_26,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.125636324994567,5.553731998075883]}"
1_1_27,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.174104397112639,6.479319214036858]}"
1_1_28,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.816914741653868,5.561712031892862]}"
1_1_29,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.241644160704187,6.746498926684054]}"
1_1_30,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.327162946291323,8.039225201068161]}"
1_1_31,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.395619851857836,6.58490813210911]}"
1_1_32,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.66600030842469,5.665119627511373]}"
1_1_33,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.590110208452416,6.04903665164677]}"
1_1_34,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.806145600098108,7.077549271795402]}"
1_1_35,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.17619066412203,7.507900662516396]}"
1_1_36,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.713738090001922,6.750513749844549]}"
1_1_37,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.074635184966283,6.83373692598119]}"
1_1_38,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.9706875408841675,7.449524665116571]}"
1_1_39,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.068258482229274,8.053395750287503]}"
1_1_40,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.518644568585796,5.918902217623232]}"
1_1_41,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.047730499731355,6.539936296287489]}"
1_1_42,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.092797852730947,6.382864027873855]}"
1_1_43,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.995662831829774,5.085211173487061]}"
1_1_44,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.053180912102668,6.779818807994318]}"
1_1_45,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.894116478080933,5.9990421071389415]}"
1_1_46,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.972272694869532,5.882531684749458]}"
1_1_47,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.5425773100089595,6.793955112734904]}"
1_1_48,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.605998423063475,6.840548083629156]}"
1_1_49,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.783439293469008,7.577449132511415]}"
1_1_50,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.850563704889742,5.630653601984718]}"
1_1_51,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.14320932514601,5.203293793028343]}"
1_1_52,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.074533741536938,6.587308530979599]}"
1_1_53,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.614985387130688,5.82664165878932]}"
1_1_54,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.7210358890564805,5.406798478280529]}"
1_1_55,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.248481073587277,7.51804645372531]}"
1_1_56,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.7162246007001976,6.7530196017656055]}"
1_1_57,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.18084885377705,6.72414012648685]}"
1_1_58,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.893591795203651,6.067566167235096]}"
1_1_59,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.803479953151691,6.847936676560083]}"
1_1_60,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.5705819787097015,5.8909442481290055]}"
1_1_61,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.526373716819297,7.0204341864410456]}"
1_1_62,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.017462693164502,6.062282426752425]}"
1_1_63,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.096920312320535,5.883164912530715]}"
1_1_64,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.695018916446482,6.847440096958032]}"
1_1_65,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.614230299320439,7.263981871410616]}"
1_1_66,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.974655812028184,6.07889739828421]}"
1_1_67,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.605666604773368,6.204461588464453]}"
1_1_68,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.895917708367408,5.007207214127482]}"
1_1_69,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.4121481424414335,6.4364095845803115]}"
1_1_70,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.445985899463384,6.752028094709462]}"
1_1_71,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.1397178641901133,5.539164070243872]}"
1_1_72,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.798885183502017,6.305936654489531]}"
1_1_73,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.454107208652976,6.092124800904074]}"
1_1_74,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.097075802052149,5.554182969117596]}"
1_1_75,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.593065481325906,6.065709972837345]}"
1_1_76,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.165389380244186,5.154423610297589]}"
1_1_77,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.042063897113165,6.7007930157003175]}"
1_1_78,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.259786029489018,6.068608678004377]}"
1_1_79,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.206142004040632,5.550378151607611]}"
1_1_80,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.920612000709703,5.569805083422189]}"
1_1_81,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.876925104717071,5.812171656107211]}"
1_1_82,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2781721753814965,5.7276386711832]}"
1_1_83,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.960899501918848,6.316003727639936]}"
1_1_84,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.815304851849401,7.092548204295809]}"
1_1_85,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.265489751433628,5.322356876844341]}"
1_1_86,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.114497031770688,5.971184155945801]}"
1_1_87,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.936966231981617,5.236752461728533]}"
1_1_88,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.628120400543991,6.858160885187436]}"
1_1_89,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.260790198858613,6.318674062174013]}"
1_1_90,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.658393216301076,6.606055527001866]}"
1_1_91,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.365422592576716,6.8062344645975985]}"
1_1_92,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.041795648759613,5.498760654506405]}"
1_1_93,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.332053507352425,5.5951089092033985]}"
1_1_94,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.633395440574297,5.546242988001966]}"
1_1_95,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.710080415147415,6.606137058652486]}"
1_1_96,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.839165658305024,5.660230420369928]}"
1_1_97,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.938564338955872,7.753953542255073]}"
1_1_98,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.50688077112827,7.0717346151798335]}"
1_1_99,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.479682895063317,6.205154454958992]}"
1_1_100,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.809509988065827,6.281560522556868]}"
1_1_101,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.073940018227755,7.0468361255238525]}"
1_1_102,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.78136258903294,5.254838353997303]}"
1_1_103,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.5542700860533456,6.487474109673352]}"
1_1_104,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.003643660534456,6.113864275157532]}"
1_1_105,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.109982333777664,6.081414706088533]}"
1_1_106,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.533374704712957,7.285390969851484]}"
1_1_107,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.54119819237576,6.62553858416612]}"
1_1_108,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.2463252840157315,6.554437285068683]}"
1_1_109,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.705977714669489,7.157636514784407]}"
1_1_110,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.898257579520917,5.479508344740968]}"
1_1_111,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.270240093196715,6.415545784500338]}"
1_1_112,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.168627985130547,5.866709261093241]}"
1_1_113,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.285797489246255,5.208718725694955]}"
1_1_114,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.348874002672611,6.524854524435409]}"
1_1_115,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.028685386398304,6.527906761526148]}"
1_1_116,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.983655088690716,6.534760495894102]}"
1_1_117,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.0102076007143355,6.357516663531863]}"
1_1_118,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.661713052488868,6.965253103193755]}"
1_1_119,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.812147481373487,6.662043362832176]}"
1_1_120,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.494529645120627,5.839434884173126]}"
1_1_121,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.361151344669261,4.90558258913836]}"
1_1_122,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.936599936887828,5.771684614730621]}"
1_1_123,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.869051522755881,6.671192328692001]}"
1_1_124,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.440519787654831,5.049768325770966]}"
1_1_125,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.427862892079696,6.409168756924648]}"
1_1_126,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.290617912803295,6.3549038681045475]}"
1_1_127,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.558872096349007,6.837480734499908]}"
1_1_128,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.887327444303801,7.6644951492150435]}"
1_1_129,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.30936967242347,6.6624405451421955]}"
1_1_130,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.770993044489313,6.5908034445269355]}"
1_1_131,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.321509039393306,6.864301349449577]}"
1_1_132,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.713417693971642,6.068915298742325]}"
1_1_133,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.288034848687346,6.764376143874388]}"
1_1_134,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.2646497023654515,6.945553801795533]}"
1_1_135,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.979964886763213,7.864298388370333]}"
1_1_136,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.303761506589121,6.147999586603418]}"
1_1_137,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.237975718321974,7.437209242032603]}"
1_1_138,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.034141852663038,6.0699976549447054]}"
1_1_139,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.072086044859718,6.658867864305834]}"
1_1_140,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.934517053163428,5.547600015783126]}"
1_1_141,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.7980082535655875,5.312802495570582]}"
1_1_142,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.814910778459281,5.8709523504507946]}"
1_1_143,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.515038926104427,6.1703981580623966]}"
1_1_144,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.912764631442599,7.559037396873417]}"
1_1_145,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.828460106289355,5.32949378025123]}"
1_1_146,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.444147784407621,6.727176306677882]}"
1_1_147,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.610675119837942,6.772962913702162]}"
1_1_148,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.611445976343753,5.8674384779703415]}"
1_1_149,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.029386159661392,6.012603564467936]}"
1_1_150,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.877267175630113,6.989182213570904]}"
1_1_151,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.700853727015759,7.141673096314719]}"
1_1_152,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.12911026254209,7.375167758828403]}"
1_1_153,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.613483250542536,5.498278370322864]}"
1_1_154,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.404852328383158,5.585548804034914]}"
1_1_155,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.274739207780239,6.525251781848368]}"
1_1_156,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.072251730534019,6.637960391021907]}"
1_1_157,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.396999215230939,5.780724510173165]}"
1_1_158,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.5401919070564345,6.336138194343019]}"
1_1_159,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.284584528299749,6.138600083267447]}"
1_1_160,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.931026862823719,5.300098102945003]}"
1_1_161,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.5143498236046256,7.106293336331697]}"
1_1_162,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.60447501134304,6.816268319073653]}"
1_1_163,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.359791209075536,8.924357519745302]}"
1_1_164,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.518569499494097,6.55638389783856]}"
1_1_165,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.456742020225578,5.9865392296920374]}"
1_1_166,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.093043567139743,6.130892628943221]}"
1_1_167,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.939857397184015,6.347925975310242]}"
1_1_168,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.659868202100492,7.427110218248094]}"
1_1_169,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.860380284629092,6.050664994543462]}"
1_1_170,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.875457665272458,6.337955347949367]}"
1_1_171,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.105805182500276,6.278001065479213]}"
1_1_172,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.9743122268413575,7.5780762354569156]}"
1_1_173,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.070791713069745,7.38501888623574]}"
1_1_174,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.9606967152746435,6.901717172698238]}"
1_1_175,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.618654567619996,5.628283561942614]}"
1_1_176,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.518856390468279,5.962335140542832]}"
1_1_177,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.004970322676033,7.022261352651559]}"
1_1_178,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.06306533981429,7.451250858643474]}"
1_1_179,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.3557588917337045,6.473783910936782]}"
1_1_180,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.060314951082933,6.344277848082066]}"
1_1_181,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.700631065075238,6.200729883746082]}"
1_1_182,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.225739337782973,6.530987307488978]}"
1_1_183,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.799428222217267,6.328305745487674]}"
1_1_184,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.00690015149307,5.202615840162571]}"
1_1_185,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.821597559391654,5.470171187878552]}"
1_1_186,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.425201679419547,6.543787294422767]}"
1_1_187,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.047878828081866,6.6867804277929945]}"
1_1_188,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.315088420843255,6.912801687548655]}"
1_1_189,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.218044786173367,5.73788058725343]}"
1_1_190,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.902245713701452,7.2011231063331875]}"
1_1_191,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.070650574473149,6.73593083348119]}"
1_1_192,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.000647456236129,5.148624211381608]}"
1_1_193,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.991787085252029,6.9281698186531155]}"
1_1_194,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.644512685757365,6.510159902432176]}"
1_1_195,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.313173563526139,6.613383939343109]}"
1_1_196,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.074140945795124,5.547376224518044]}"
1_1_197,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.091203416813967,5.7219939860469715]}"
1_1_198,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.434316746930976,6.96395739468216]}"
1_1_199,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.240807741260291,6.642460376771076]}"
1_1_200,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.740499815859943,6.747999761495052]}"
1_1_201,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.142838197265234,6.037214613033898]}"
1_1_202,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2795888684269245,5.015648826936221]}"
1_1_203,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.138118198247087,6.602229454665287]}"
1_1_204,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.88202012590798,7.652855544982017]}"
1_1_205,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.639478700119455,6.633104270980621]}"
1_1_206,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.787293997478464,7.877727335726667]}"
1_1_207,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.964729373107295,5.502491680951186]}"
1_1_208,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.971349963112282,5.437320193826375]}"
1_1_209,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.725505902115401,4.891202161653976]}"
1_1_210,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.469648670428518,6.7006608944790855]}"
1_1_211,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.2496521896415365,5.732677061251175]}"
1_1_212,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.1318742516882265,6.898458538480266]}"
1_1_213,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.828061525624512,5.634141850717545]}"
1_1_214,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.375948655000528,5.491820576908146]}"
1_1_215,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.624563840088559,5.331813766493295]}"
1_1_216,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.536879882799464,6.167716050675979]}"
1_1_217,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.80581473641787,7.018617863493888]}"
1_1_218,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.767628714562907,7.835298900496003]}"
1_1_219,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.676159792671494,5.834641460117834]}"
1_1_220,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.554938147927098,7.065675054773326]}"
1_1_221,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.7252797311628525,5.412367770443532]}"
1_1_222,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.099350663970703,5.612689766719327]}"
1_1_223,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.746602246937675,7.122716987852727]}"
1_1_224,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.233275188711226,6.423909383975975]}"
1_1_225,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.0808189226547835,8.060038326662344]}"
1_1_226,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.622964639768497,6.641554673418137]}"
1_1_227,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.589768486045925,5.327503593679324]}"
1_1_228,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.9644640805300675,5.802819281586833]}"
1_1_229,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.868275542848971,6.7533209760985144]}"
1_1_230,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.696979189551486,7.110568508898147]}"
1_1_231,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.288854883190095,6.31887911396456]}"
1_1_232,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.645314600694302,6.451921473665038]}"
1_1_233,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.722536285140701,6.159417434987915]}"
1_1_234,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.052223012398024,7.258743377413886]}"
1_1_235,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.432197851311986,4.93271468173532]}"
1_1_236,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.5431138604691412,6.86849050952461]}"
1_1_237,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.266104910999186,5.809085074831244]}"
1_1_238,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.954342468435453,5.589254208603206]}"
1_1_239,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.785966075926465,6.175309078685245]}"
1_1_240,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.370747187401387,6.13964188621484]}"
1_1_241,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.221266889502206,6.2747830244091]}"
1_1_242,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.620361475835556,5.504557780655477]}"
1_1_243,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.154135845422906,6.852429295560498]}"
1_1_244,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.795644953266027,6.307941894776948]}"
1_1_245,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.942159563200634,6.7191056342368745]}"
1_1_246,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.035711276405783,6.060619784384193]}"
1_1_247,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.095222140550631,6.5201493189436945]}"
